schools_province,totalmale,totalfemale,totalstd,province
กระบี่,340,633,973,Krabi
กรุงเทพมหานคร,4094,6491,10585,Bangkok Metropolis
กาญจนบุรี,725,1198,1923,Kanchanaburi
กาฬสินธุ์,751,1359,2110,Kalasin
กำแพงเพชร,825,1240,2065,Kamphaeng Phet
ขอนแก่น,680,1024,1704,Khon Kaen
จันทบุรี,750,885,1635,Chanthaburi
ฉะเชิงเทรา,612,763,1375,Chachoengsao
ชลบุรี,2102,3827,5929,Chon Buri
ชัยนาท,353,617,970,Chai Nat
ชัยภูมิ,446,579,1025,Chaiyaphum
ชุมพร,783,1287,2070,Chumphon
ตรัง,1079,1786,2865,Trang
ตราด,296,536,832,Trat
ตาก,675,1266,1941,Tak
นครนายก,95,144,239,Nakhon Nayok
นครปฐม,1170,1280,2450,Nakhon Pathom
นครพนม,869,1497,2366,Nakhon Phanom
นครราชสีมา,1073,2522,3595,Nakhon Ratchasima
นครศรีธรรมราช,1849,3259,5108,Nakhon Si Thammarat
นครสวรรค์,644,1024,1668,Nakhon Sawan
นนทบุรี,803,1346,2149,Nonthaburi
นราธิวาส,468,823,1291,Narathiwat
น่าน,475,661,1136,Nan
บึงกาฬ,378,745,1123,buogkan
บุรีรัมย์,1330,2425,3755,Buri Ram
ปทุมธานี,1615,2085,3700,Pathum Thani
ประจวบคีรีขันธ์,446,798,1244,Prachuap Khiri Khan
ปราจีนบุรี,669,1214,1883,Prachin Buri
ปัตตานี,187,368,555,Pattani
พระนครศรีอยุธยา,893,1416,2309,Phra Nakhon Si Ayutthaya
พะเยา,236,373,609,Phayao
พังงา,131,195,326,Phangnga
พัทลุง,391,594,985,Phatthalung
พิจิตร,608,986,1594,Phichit
พิษณุโลก,846,1065,1911,Phitsanulok
ภูเก็ต,184,587,771,Phuket
มหาสารคาม,594,964,1558,Maha Sarakham
มุกดาหาร,235,400,635,Mukdahan
ยะลา,29,73,102,Yala
ยโสธร,288,511,799,Yasothon
ระนอง,325,576,901,Ranong
ระยอง,1210,2124,3334,Rayong
ราชบุรี,964,1554,2518,Ratchaburi
ร้อยเอ็ด,613,982,1595,Roi Et
ลพบุรี,413,714,1127,Lop Buri
ลำปาง,426,688,1114,Lampang
ลำพูน,230,354,584,Lamphun
ศรีสะเกษ,657,1368,2025,Si Sa Ket
สกลนคร,836,1867,2703,Sakon Nakhon
สงขลา,893,1485,2378,Songkhla
สตูล,350,807,1157,Satun
สมุทรปราการ,788,1195,1983,Samut Prakan
สมุทรสงคราม,101,140,241,Samut Songkhram
สมุทรสาคร,368,473,841,Samut Sakhon
สระบุรี,674,1089,1763,Saraburi
สระแก้ว,412,741,1153,Sa Kaeo
สิงห์บุรี,55,78,133,Sing Buri
สุพรรณบุรี,1106,1848,2954,Suphan Buri
สุราษฎร์ธานี,1487,2474,3961,Surat Thani
สุรินทร์,805,2067,2872,Surin
สุโขทัย,799,1008,1807,Sukhothai
หนองคาย,488,807,1295,Nong Khai
หนองบัวลำภู,74,95,169,Nong Bua Lam Phu
อำนาจเจริญ,347,586,933,Amnat Charoen
อุดรธานี,947,2019,2966,Udon Thani
อุตรดิตถ์,318,481,799,Uttaradit
อุทัยธานี,265,388,653,Uthai Thani
อุบลราชธานี,796,1570,2366,Ubon Ratchathani
อ่างทอง,430,730,1160,Ang Thong
เชียงราย,1045,1687,2732,Chiang Rai
เชียงใหม่,852,1411,2263,Chiang Mai
เพชรบุรี,350,505,855,Phetchaburi
เพชรบูรณ์,394,709,1103,Phetchabun
เลย,529,985,1514,Loei
แพร่,369,878,1247,Phrae
แม่ฮ่องสอน,336,560,896,Mae Hong Son

